entrance_accessibility,inaccessible_units,accessible_units,percent_accessible,year_built,year_of_replacement,property_type,ward
NO,40,0,0,1950,2015,PRIVATE,16
YES,88,2,2.2222222222222223,1990,NA,TCHC,16
NO,31,0,0,1954,NA,PRIVATE,16
NO,286,0,0,1970,NA,PRIVATE,16
YES,300,0,0,1972,NA,PRIVATE,17
NO,202,0,0,1957,2008,PRIVATE,03
NO,25,0,0,1953,NA,PRIVATE,02
NO,15,0,0,1953,NA,PRIVATE,19
NO,41,0,0,1955,NA,PRIVATE,21
YES,33,1,2.941176470588235,1969,NA,PRIVATE,21
NO,26,0,0,1958,NA,PRIVATE,05
NO,11,0,0,1965,NA,PRIVATE,05
NO,92,10,9.803921568627452,1971,NA,PRIVATE,05
YES,95,0,0,1977,NA,PRIVATE,05
YES,245,0,0,1966,2008,PRIVATE,17
YES,176,0,0,1965,2008,PRIVATE,17
NO,40,0,0,1915,NA,PRIVATE,05
YES,30,1,3.225806451612903,1957,NA,TCHC,08
YES,29,2,6.451612903225806,1957,NA,TCHC,08
YES,0,26,100,1945,NA,PRIVATE,09
NO,94,0,0,1961,2015,PRIVATE,14
NO,109,0,0,1971,2016,PRIVATE,14
NO,120,0,0,1972,2011,PRIVATE,06
NO,17,0,0,1960,NA,PRIVATE,06
YES,177,2,1.1173184357541899,1960,2010,PRIVATE,06
NO,17,0,0,1968,NA,PRIVATE,05
NO,21,0,0,1960,NA,PRIVATE,05
NO,31,0,0,1974,2015,PRIVATE,05
NO,34,0,0,1957,2015,PRIVATE,05
YES,233,3,1.2711864406779663,1972,2017,TCHC,01
YES,0,36,100,1930,1985,PRIVATE,12
NO,22,0,0,1996,NA,SOCIAL HOUSING,10
NO,174,0,0,1968,2009,PRIVATE,17
NO,77,0,0,1959,2012,PRIVATE,17
YES,141,0,0,1973,2012,PRIVATE,02
YES,162,0,0,1964,2011,PRIVATE,02
YES,0,180,100,1971,2009,PRIVATE,02
YES,264,2,0.7518796992481203,1970,2012,PRIVATE,01
YES,123,0,0,1963,2004,PRIVATE,01
YES,64,0,0,1960,2006,PRIVATE,16
NO,164,0,0,1965,2001,PRIVATE,16
YES,33,0,0,1968,NA,PRIVATE,21
NO,139,0,0,1984,NA,PRIVATE,21
YES,135,0,0,1972,2008,PRIVATE,21
NO,65,0,0,1967,2016,PRIVATE,21
NO,32,0,0,1976,NA,PRIVATE,21
NO,180,0,0,1965,2007,PRIVATE,24
NO,12,0,0,1960,NA,PRIVATE,05
NO,11,0,0,1953,NA,PRIVATE,06
YES,8,2,20,1962,NA,PRIVATE,16
NO,27,0,0,1968,2016,PRIVATE,16
YES,0,61,100,1960,2000,PRIVATE,16
YES,61,0,0,1958,2015,PRIVATE,16
NO,178,0,0,1968,2007,PRIVATE,02
YES,47,1,2.083333333333333,1969,NA,PRIVATE,02
NO,45,0,0,1970,NA,PRIVATE,02
NO,10,0,0,1965,NA,PRIVATE,02
NO,26,0,0,1953,NA,PRIVATE,03
