_id,AIR_CONDITIONING_TYPE,AMENITIES_AVAILABLE,ANNUAL_FIRE_ALARM_TEST_RECORDS,ANNUAL_FIRE_PUMP_FLOW_TEST_RECORDS,APPROVED_FIRE_SAFETY_PLAN,BALCONIES,BARRIER_FREE_ACCESSIBILTY_ENTR,BIKE_PARKING,CONFIRMED_STOREYS,CONFIRMED_UNITS,DATE_OF_LAST_INSPECTION_BY_TSSA,DESCRIPTION_OF_CHILD_PLAY_AREA,DESCRIPTION_OF_INDOOR_EXERCISE_ROOM,DESCRIPTION_OF_OUTDOOR_REC_FACILITIES,ELEVATOR_PARTS_REPLACED,ELEVATOR_STATUS,EMERG_POWER_SUPPLY_TEST_RECORDS,EXTERIOR_FIRE_ESCAPE,FACILITIES_AVAILABLE,FIRE_ALARM,GARBAGE_CHUTES,GREEN_BIN_LOCATION,HEATING_EQUIPMENT_STATUS,HEATING_EQUIPMENT_YEAR_INSTALLED,HEATING_TYPE,INDOOR_GARBAGE_STORAGE_AREA,INTERCOM,IS_THERE_A_COOLING_ROOM,IS_THERE_EMERGENCY_POWER,LAUNDRY_ROOM,LAUNDRY_ROOM_HOURS_OF_OPERATION,LAUNDRY_ROOM_LOCATION,LOCKER_OR_STORAGE_ROOM,NO_BARRIER_FREE_ACCESSBLE_UNITS,NO_OF_ACCESSIBLE_PARKING_SPACES,NO_OF_ELEVATORS,NO_OF_LAUNDRY_ROOM_MACHINES,NON_SMOKING_BUILDING,OUTDOOR_GARBAGE_STORAGE_AREA,PARKING_TYPE,PCODE,PET_RESTRICTIONS,PETS_ALLOWED,PROP_MANAGEMENT_COMPANY_NAME,PROPERTY_TYPE,RECYCLING_BINS_LOCATION,RSN,SEPARATE_GAS_METERS_EACH_UNIT,SEPARATE_HYDRO_METER_EACH_UNIT,SEPARATE_WATER_METERS_EA_UNIT,SITE_ADDRESS,SPRINKLER_SYSTEM,SPRINKLER_SYSTEM_TEST_RECORD,SPRINKLER_SYSTEM_YEAR_INSTALLED,TSSA_TEST_RECORDS,VISITOR_PARKING,WARD,WINDOW_TYPE,YEAR_BUILT,YEAR_OF_REPLACEMENT,YEAR_REGISTERED,NO_OF_STOREYS,IS_THERE_EMERGENCY_POWER?,NON-SMOKING_BUILDING,NO_OF_UNITS,NO_OF_ACCESSIBLEPARKING_SPACES,FACILITIES_AVAILABLE?,IS_THERE_A_COOLING_ROOM?,NO_BARRIERFREE_ACCESSBLE_UNITS
113116,NONE,NA,YES,NO,YES,YES,NO,Not Available,4,40,"SEP 1, 2017",NA,NA,NA,"PHOTOSENSOR, CABLES",REPLACED,NA,NO,Recycling bins,YES,YES,NA,REPLACED,2004,HOT WATER,NO,YES,NO,NO,YES,8AM-10PM,BASEMENT,YES,0,0,1,6,NO,YES,"Ground Level Garage , Surface Parking",M3C,NA,YES,SIGNET GROUP INC.,PRIVATE,BESIDE BUILDING (GARAGE SIDE ENTRANCE),4154789,NO,YES,NO,4  THE DONWAY  E,YES,YES,1950,YES,FREE,16,DOUBLE PANE,1950,2015,2017,NA,NA,NA,NA,NA,NA,NA,NA
113117,NONE,Indoor recreation room,YES,YES,YES,YES,YES,Not Available,5,90,"OCT 14, 2015",NA,NA,NA,NA,ORIGINAL,YES,NO,Unknown,YES,YES,NA,ORIGINAL,1990,HOT WATER,YES,YES,NO,YES,YES,TBD,TBD,NO,2,4,2,12,YES,YES,Surface Parking,M3C,NA,YES,TORONTO COMMUNITY HOUSING CORPORATION,TCHC,NA,4154792,NO,NO,NO,20  SANDERLING PL ,YES,YES,1990,YES,BOTH,16,DOUBLE PANE,1990,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
113118,NONE,NA,YES,YES,YES,YES,NO,0 indoor parking spots and 9 outdoor parking spots,4,31,NA,NA,NA,NA,NA,NA,NA,NO,Unknown,YES,NO,NA,REPLACED,1982,HOT WATER,NO,YES,NO,NO,YES,24/7,BASEMENT,YES,0,0,0,4,NO,YES,"Ground Level Garage , Surface Parking",M3C,NA,YES,JELCORO INVESTMENTS,PRIVATE,NA,4154801,NO,YES,NO,868  LAWRENCE AVE E,NO,NA,NA,NA,UNAVAILABLE,16,DOUBLE PANE,1954,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA
113119,NONE,NA,YES,YES,YES,YES,NO,Not Available,24,286,"OCT 2, 2017",NA,NA,NA,NA,ORIGINAL,YES,NO,Green Bin / Organics,YES,YES,MOVING DOCK AT REAR OF BUILDING,REPLACED,2017,HOT WATER,YES,YES,NO,YES,YES,24 HRS,BASEMENT,YES,0,0,4,20,NO,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",M3A,NA,YES,GRAYDON HALL APARTMENTS - GH CAPITAL CORPORATION,PRIVATE,MOVING DOCK AT REAR OF BUILDING,4154805,NO,NO,NO,100  GRAYDON HALL DR ,YES,YES,1970,YES,FREE,16,DOUBLE PANE,1970,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
113120,NONE,NA,YES,YES,YES,YES,YES,0 indoor parking spots and 10 outdoor parking spots,17,300,"AUG 11, 2017",NA,NA,NA,NA,ORIGINAL,YES,YES,Green Bin / Organics,YES,YES,GROUND FLOOR AT REAR,REPLACED,2012,HOT WATER,NO,YES,NO,YES,YES,24 HR ,BASEMENT,YES,0,2,3,36,NO,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",M2J,NA,YES,HOMESTEAD LAND HOLDINGS LIMITED,PRIVATE,GROUND FLOOR AT REAR,4154814,NO,YES,NO,25  PARKWAY FOREST DR ,YES,YES,1972,YES,FREE,17,DOUBLE PANE,1972,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
113121,NONE,NA,YES,YES,YES,YES,NO,Not Available,13,202,"AUG 15, 2016",NA,NA,NA,ALL,REPLACED,YES,NO,Green Bin / Organics,YES,YES,BACK OF THE BUILDING,REPLACED,2008,HOT WATER,NO,YES,NO,YES,YES,ALL DAY LONG,FIRST FLOOR,YES,0,2,3,18,NO,YES,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking , Parking Deck",M9A,NA,NO,RANEE MANAGEMENT,PRIVATE,BACK OF THE BUILDING,4155301,NO,YES,NO,1276  ISLINGTON AVE ,YES,YES,2005,YES,FREE,03,DOUBLE PANE,1957,2008,2017,NA,NA,NA,NA,NA,NA,NA,NA
113122,NONE,NA,YES,YES,YES,NO,NO,0 indoor parking spots and 5 outdoor parking spots,4,25,NA,NA,NA,NA,NA,NA,NA,NO,Green Bin / Organics,YES,NO,WEST SIDE - OUTDOORS,REPLACED,1996,HOT WATER,NO,YES,NO,NO,YES,7 A.M. - 10 P.M.,BASEMENT,NO,0,20,0,4,YES,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M9A,NA,NO,FINE REALTY LTD,PRIVATE,OUTSIDE,4155319,NO,YES,NO,20  ANGLESEY BLVD ,NO,NA,NA,NA,UNAVAILABLE,02,DOUBLE PANE,1953,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
113123,INDIVIDUAL UNITS,NA,YES,YES,YES,YES,NO,Not Available,4,15,NA,NA,NA,NA,NA,NA,NO,NO,Recycling bins,YES,NO,NA,REPLACED,2018,HOT WATER,NO,YES,NO,NO,YES,24/7,GROUND FLOOR ,YES,0,NA,0,2,YES,YES,"Ground Level Garage , Surface Parking",M4B,NA,YES,GREENWIN CORP.,PRIVATE,BY GARBAGE BINS,4155950,NO,YES,NO,5  STAG HILL DR ,YES,YES,2012,NA,UNAVAILABLE,19,DOUBLE PANE,1953,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA
113124,NONE,NA,YES,YES,YES,YES,NO,Not Available,4,41,"JUN 10, 2017",NA,NA,NA,NA,ORIGINAL,NA,NO,Green Bin / Organics,YES,NO,BEHIND OF BUILDING ,REPLACED,2012,FORCED AIR GAS,NO,YES,NO,NO,YES,8AM - 10:30PM,MAIN LEVEL,YES,0,50,1,6,YES,YES,Surface Parking,M1P,NA,NO,NA,PRIVATE,BEHIND OF BUILDING ,4152701,NO,YES,NO,1191  BIRCHMOUNT RD ,YES,YES,1955,YES,FREE,21,DOUBLE PANE,1955,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
113125,NONE,NA,YES,YES,YES,YES,YES,Not Available,5,34,"DEC 16, 2016",NA,NA,NA,NA,ORIGINAL,NA,YES,Green Bin / Organics,YES,NO,OUTDOOR,REPLACED,1998,HOT WATER,NO,YES,NO,NO,YES,24 HOURS,BASEMENT,NO,1,35,1,5,YES,YES,"Underground Garage , Ground Level Garage , Carport , Surface Parking",M1K,APARTMENT FRIENDLY,YES,MPC PROPERTIES INC.,PRIVATE,OUTDOOR,4152704,NO,NO,NO,807  KENNEDY RD ,YES,YES,2014,YES,UNAVAILABLE,21,DOUBLE PANE,1969,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA
